,height,search_num,final_win_num,G,PER,WS,TRB,AST,PTS,G_sum,PER_sum,WS_sum,TRB_sum,AST_sum,PTS_sum,Pos_C,Pos_PF,Pos_PF-C,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SG,Pos_SG-SF,HoF
89,-0.735000054,-0.346470942,-0.29995078199999997,0.9125987259999999,0.122404956,0.307236081,0.00171893,0.657497695,0.771582958,1.4269742559999998,1.322332551,0.589439264,0.35903826299999997,0.9210069359999999,0.98009715,0,0,0,0,0,0,0,1,0,0
90,0.872652056,-0.361398412,-0.29995078199999997,-1.669409664,-0.592941261,-0.843509592,-0.920058704,-0.7934180059999999,-0.964341942,-0.9392667309999999,-0.879143927,-0.577891896,-0.640076006,-0.575559735,-0.666342436,0,1,0,0,0,0,0,0,0,0
91,-0.41346963200000003,-0.126390673,-0.29995078199999997,-0.9366775540000001,-0.28295790000000004,-0.7339147659999999,-0.8660633609999999,-0.690597208,-0.7914275470000001,-0.70181431,-0.35017968,-0.550098297,-0.612113235,-0.537626673,-0.5949947760000001,0,0,0,1,0,0,0,0,0,0
92,-0.41346963200000003,1.590327751,-0.29995078199999997,0.9125987259999999,-0.235268153,-0.29553546199999997,0.402827189,-0.193630019,0.320649342,-0.373246425,-0.452219346,-0.4597691,-0.27212144,-0.387325859,-0.34731925,0,0,0,0,0,1,0,0,0,0
93,-0.735000054,2.2564382419999998,-0.29995078199999997,-1.2158135959999998,-0.366414959,-0.761313473,-0.819781639,-0.5592150770000001,-0.749046568,-0.90337276,-0.856859402,-0.567469297,-0.628535815,-0.546215291,-0.641652646,0,0,0,1,0,0,0,0,0,0
94,0.336768019,-0.193001722,-0.29995078199999997,0.21475862,-0.592941261,-0.651718647,-0.295255454,-0.416408414,-0.581217891,-0.7901686990000001,-0.879143927,-0.553572497,-0.568171736,-0.528322337,-0.622406275,0,0,0,0,0,1,0,0,0,0
95,0.658298441,-0.342052189,-0.29995078199999997,0.9125987259999999,0.551612686,0.6908179720000001,0.668947091,0.28620037,1.63615493,1.976428114,1.868889843,1.0063432490000002,1.001294304,0.28544921,1.29873152,0,1,0,0,0,0,0,0,0,0
96,0.122414405,-0.36084178100000003,-0.29995078199999997,-1.564733648,-1.975943947,-0.9257057120000001,-0.920058704,-0.770568939,-0.964341942,-0.930983507,-1.015196815,-0.588314496,-0.640076006,-0.572696863,-0.666342436,0,0,0,0,0,0,0,1,0,0
97,-0.735000054,-0.335984648,1.198207644,0.9125987259999999,0.563535123,1.01960245,2.2733801280000003,1.737116071,2.214231484,1.716887095,1.549869278,0.780520257,2.723445955,1.881500705,2.658614021,0,1,0,0,0,0,0,0,0,0
98,-1.2708840909999999,0.858265726,-0.29995078199999997,-1.9136537009999999,-1.892486888,-0.8161108859999999,-0.947056375,-0.804842539,-0.9897705290000001,-0.958594253,-1.0069867270000001,-0.574417697,-0.643182981,-0.576991172,-0.6692585529999999,0,0,0,0,0,1,0,0,0,0
99,-1.592414513,-0.35148325799999997,-0.29995078199999997,0.040298594,-0.163733531,-0.679117353,-0.8082112090000001,-0.370710282,-0.801598982,-0.73770828,-0.77710426,-0.570943497,-0.621878012,-0.502556483,-0.633487519,0,0,0,1,0,0,0,0,0,0
100,0.658298441,0.7131723520000001,-0.29995078199999997,0.9125987259999999,0.30124151,1.2113933959999998,2.084396429,0.080558775,0.893640178,1.874268351,1.551042147,1.642121828,2.744750924,0.263977666,1.267626273,0,1,0,0,0,0,0,0,0,0
